ID,Season,Team Name,Arena,Games (G),Wins (W),Losses (L),Win/Loss Percentage (W/L%),Minutes Played (MP),Pace Factor (Pace),Relative Pace,Offensive Rating (ORtg),Relative Offensive Rating,Defensive Rating (DRtg),Relative Defensive Rating,Points Per Game (Pts/G),Opponent Points Per Game (Opp Pts/G),Field Goals Made (FG),Field Goal Attempts (FGA),Field Goal Percentage (FG%),3-Point Field Goals Made (3P),3-Point Field Goal Attempts (3PA),3-Point Field Goal Percentage (3P%),2-Point Field Goals Made (2P),2-Point Field Goal Attempts (2PA),2-Point Field Goal Percentage (2P%),Effective Field Goal Percentage (eFG%),Free Throws Made (FT),Free Throw Attempts (FTA),Free Throw Percentage (FT%),FT/FGA,Offensive Rebounds (ORB),Offensive Rebound Percentage (ORB%),Defensive Rebounds (DRB),Defensive Rebound Percentage (DRB%),Total Rebounds (TRB),Total Rebounds Per Game,Total Rebound Percentage (TRB%),Assists (AST),Assist Percentage (AST%),Assists Per Game,Steals (STL),Steal Percentage (STL%),Steals Per Game,Blocks (BLK),Block Percentage (BLK%),Blocks Per Game,Turnovers (TOV),Turnover Percentage (TOV%),Turnovers Per Game,Personal Fouls (PF),Personal Fouls Per Game,Points (PTS),Points Per Game,Standing,Conference Standing,Playoff result,Conference Champion,Champion
22,2020,Portland Trail Blazers,Moda Center,74,35,39,0.473,17835,100.7,0.4,113.7,3.1,114.8,4.2,115.0,116.1,3122,6749,0.463,952,2525,0.377,2170,4224,0.514,0.533,1312,1632,0.804,0.194,754,22.4,2599,75.3,3353,45.3,,1525,,20.6,465,,6.3,451,,6.1,946,,12.8,1606,21.7,8508,115.0,15,8,Western Conference First Round,0,0
23,2020,Memphis Grizzlies,FedEx Forum,73,34,39,0.466,17570,102.8,2.5,109.2,-1.4,110.3,-0.3,112.6,113.7,3106,6634,0.468,798,2297,0.347,2308,4337,0.532,0.528,1212,1589,0.763,0.183,754,23.0,2643,77.8,3397,46.5,,1965,,26.9,576,,7.9,398,,5.5,1113,,15.2,1546,21.2,8222,112.6,16,9,Not Qualified,0,0
24,2020,Phoenix Suns,Talking Stick Resort Arena,73,34,39,0.466,17595,101.3,1.0,111.7,1.1,111.4,0.8,113.6,113.4,3006,6429,0.468,831,2320,0.358,2175,4109,0.529,0.532,1451,1740,0.834,0.226,712,22.2,2465,78.8,3177,43.5,,1987,,27.2,559,,7.7,290,,4.0,1077,,14.8,1609,22.0,8294,113.6,17,10,Not Qualified,0,0
25,2020,San Antonio Spurs,AT&T Center,71,32,39,0.451,17215,100.5,0.2,112.4,1.8,113.5,2.9,114.1,115.2,2995,6350,0.472,760,2021,0.376,2235,4329,0.516,0.531,1348,1664,0.81,0.212,640,20.1,2530,79.2,3170,44.6,,1751,,24.7,518,,7.3,390,,5.5,895,,12.6,1377,19.4,8098,114.1,19,11,Not Qualified,0,0
26,2020,Sacramento Kings,Golden 1 Center,72,31,41,0.431,17455,98.9,-1.4,110.2,-0.4,112.2,1.6,110.1,112.1,2943,6364,0.462,914,2511,0.364,2029,3853,0.527,0.534,1127,1464,0.77,0.177,695,21.9,2372,78.4,3067,42.6,,1713,,23.8,556,,7.7,293,,4.1,1043,,14.5,1595,22.2,7927,110.1,20,12,Not Qualified,0,0
27,2020,New Orleans Pelicans,Smoothie King Center,72,30,42,0.417,17430,103.7,3.4,110.7,0.1,111.9,1.3,115.8,117.1,3065,6598,0.465,982,2656,0.37,2083,3942,0.528,0.539,1229,1687,0.729,0.186,797,24.2,2551,77.8,3348,46.5,,1932,,26.8,539,,7.5,358,,5.0,1181,,16.4,1524,21.2,8341,115.8,21,13,Not Qualified,0,0
28,2020,Minnesota Timberwolves,Target Center,64,19,45,0.297,15560,103.4,3.1,108.1,-2.5,112.2,1.6,113.3,117.5,2586,5865,0.441,853,2540,0.336,1733,3325,0.521,0.514,1223,1624,0.753,0.209,675,22.1,2193,77.2,2868,44.8,,1525,,23.8,555,,8.7,362,,5.7,981,,15.3,1370,21.4,7248,113.3,28,14,Not Qualified,0,0
29,2020,Golden State Warriors,Chase Center,65,15,50,0.231,15725,100.3,0.0,105.2,-5.4,113.8,3.2,106.3,115.0,2510,5730,0.438,678,2032,0.334,1832,3698,0.495,0.497,1214,1511,0.803,0.212,647,21.5,2138,76.4,2785,42.8,,1663,,25.6,534,,8.2,299,,4.6,969,,14.9,1304,20.1,6912,106.3,30,15,Not Qualified,0,0
30,2021,Philadelphia 76ers,Wells Fargo Center,72,49,23,0.681,17430,99.5,0.3,113.2,0.9,107.6,-4.7,113.6,108.1,2981,6257,0.476,811,2169,0.374,2170,4088,0.531,0.541,1409,1836,0.767,0.225,722,23.2,2522,78.2,3244,45.1,,1706,,23.7,655,,9.1,447,,6.2,1040,,14.4,1456,20.2,8182,113.6,3,1,Eastern Conference Semifinals,0,0
31,2021,Brooklyn Nets,Barclays Center,72,48,24,0.667,17405,99.5,0.3,118.3,6.0,113.8,1.5,118.6,114.1,3106,6289,0.494,1020,2600,0.392,2086,3689,0.565,0.575,1305,1623,0.804,0.208,640,21.4,2559,77.3,3199,44.4,,1929,,26.8,484,,6.7,379,,5.3,975,,13.5,1371,19.0,8537,118.6,4,2,Eastern Conference Semifinals,0,0
