Season,Position,Player Name,rank_position,Score,Team Name,player_id,team_id,season,position,experience,games,games_started,minutes,fg,fga,fg_percent,three_p,three_pa,three_percent,two_p,two_pa,two_percent,efg,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,z_pts,z_ast,z_trb,z_stl,z_blk,z_efg,z_per,z_tov,raw_score
2020,C,Dwight Howard,26,64.79,Los Angeles Lakers,2183,7,2020,C,18,69,2,18.90,2.90,4.00,0.729,0.00,0.10,0.600,2.90,3.90,0.732,0.735,1.60,3.10,0.514,2.50,4.90,7.30,0.70,0.40,1.10,1.20,3.20,7.50,18.70,-0.0735462982,-0.4781720829,0.6251234421,-0.2659277132,0.5743763637,1.47728215077,0.3798635089,0.283245976,0.55844876417
2020,C,Jaren Jackson Jr.,27,64.71,Memphis Grizzlies,2284,12,2020,C,8,57,57,28.50,6.20,13.20,0.469,2.50,6.50,0.394,3.60,6.80,0.540,0.565,2.40,3.30,0.747,1.00,3.60,4.60,1.40,0.70,1.60,1.70,4.10,17.40,16.30,1.6301899552,0.0786796579,-0.2423490583,0.6190183874,1.4461976293,-0.00918109653,0.0322381686,0.9913609161,0.55374919543
2020,C,Tristan Thompson,28,64.42,Cleveland Cavaliers,4773,18,2020,C,13,57,51,30.20,5.10,9.90,0.512,0.20,0.40,0.391,4.90,9.50,0.518,0.520,1.70,2.80,0.615,4.00,6.20,10.10,2.10,0.60,0.90,1.80,2.20,12.00,16.80,0.7008792715,0.6355313987,1.5247245537,0.3240363538,0.2256478575,-0.40265666199,0.1046601145,1.1329839041,0.5367892717
2020,C,Serge Ibaka,29,64.02,Toronto Raptors,2242,26,2020,C,14,55,27,27.00,6.20,12.20,0.512,1.30,3.30,0.385,5.00,8.90,0.559,0.564,1.60,2.30,0.718,2.10,6.10,8.20,1.40,0.50,0.80,2.00,2.80,15.40,17.30,1.2860008131,0.0786796579,0.9142809423,0.0290543203,0.0512836044,-0.01792499798,0.1770820604,1.4162298802,0.51338249669
2020,C,Nerlens Noel,30,63.75,Oklahoma City Thunder,3532,0,2020,C,9,61,7,18.50,3.00,4.40,0.684,0.00,0.00,0.333,3.00,4.40,0.688,0.686,1.30,1.70,0.755,1.50,3.40,4.90,0.90,1.00,1.50,1.10,2.70,7.40,20.40,-0.0907557553,-0.3190715855,-0.1459632249,1.503964488,1.2718333762,1.04883097949,0.626098125,0.141622988,0.49757283046
2020,C,Ivica Zubac,31,63.12,Los Angeles Clippers,5414,3,2020,C,10,72,70,18.40,3.30,5.30,0.613,0.00,0.00,0.000,3.30,5.30,0.616,0.613,1.70,2.30,0.747,2.70,4.80,7.50,1.10,0.20,0.90,0.80,2.30,8.30,21.70,0.0641293586,-0.1599710881,0.6893806644,-0.8558917803,0.2256478575,0.4105261733,0.8143951843,-0.283245976,0.46077748706
2020,C,Daniel Theis,32,62.85,Boston Celtics,4718,15,2020,C,8,65,64,24.10,3.70,6.60,0.566,0.50,1.50,0.333,3.20,5.10,0.633,0.603,1.30,1.80,0.763,2.20,4.40,6.60,1.70,0.60,1.30,0.80,3.40,9.20,17.90,0.2190144726,0.317330404,0.4002231642,0.3240363538,0.9231048699,0.32308715875,0.2639883955,-0.283245976,0.44459358046
2020,C,JaVale McGee,33,62.4,Los Angeles Lakers,3150,7,2020,C,16,68,68,16.60,2.90,4.50,0.637,0.00,0.10,0.500,2.80,4.40,0.640,0.642,0.80,1.20,0.646,1.80,3.90,5.70,0.50,0.50,1.40,0.80,2.30,6.60,19.40,-0.2284314121,-0.6372725803,0.1110656641,0.0290543203,1.0974691231,0.66409931549,0.4812542332,-0.283245976,0.41842737638
2020,C,Wendell Carter Jr.,34,62.21,Chicago Bulls,769,23,2020,C,8,43,43,29.20,4.30,8.00,0.534,0.10,0.70,0.207,4.10,7.30,0.564,0.542,2.60,3.50,0.737,3.20,6.20,9.40,1.20,0.80,0.80,1.70,3.80,11.30,15.50,0.5804130718,-0.0804208394,1.2998242758,0.9140004209,0.0512836044,-0.21029082999,-0.0836369448,0.9913609161,0.40754295244
2020,C,Robert Williams,35,62.1,Boston Celtics,5252,15,2020,C,8,29,1,13.40,2.20,3.00,0.727,0.00,0.00,,2.20,3.00,0.727,0.727,0.80,1.20,0.647,1.40,3.00,4.40,0.90,0.80,1.20,0.70,1.80,5.20,23.10,-0.4693638116,-0.3190715855,-0.3066062806,0.9140004209,0.7487406168,1.40733093914,1.0171766329,-0.4248689641,0.40098147471
2020,C,James Johnson,36,61.5,Minnesota Timberwolves,2410,2,2020,C,16,14,1,24.10,4.60,9.10,0.500,1.20,3.30,0.370,3.40,5.90,0.573,0.566,1.60,2.40,0.676,1.20,3.50,4.70,3.80,1.40,1.40,2.40,3.30,12.00,17.90,0.7008792715,1.9878856264,-0.2102204472,2.6838926221,1.0974691231,-0.00043719507,0.2639883955,1.9827218322,0.36568063147
2020,C,Jakob Poeltl,37,61.35,San Antonio Spurs,3828,13,2020,C,10,66,18,17.70,2.50,4.00,0.624,0.00,0.00,,2.50,4.00,0.624,0.624,0.60,1.30,0.465,2.00,3.70,5.70,1.80,0.60,1.40,0.80,1.90,5.60,19.10,-0.4005259832,0.3968806527,0.1110656641,0.3240363538,1.0974691231,0.5067090893,0.4378010657,-0.283245976,0.35672508841
2020,C,Enes Freedom,38,61.08,Boston Celtics,1561,15,2020,C,11,58,7,16.90,3.40,6.00,0.572,0.00,0.10,0.143,3.40,5.90,0.581,0.573,1.20,1.70,0.707,2.80,4.60,7.40,1.00,0.40,0.70,1.00,1.70,8.10,22.40,0.0297104444,-0.2395213368,0.6572520533,-0.2659277132,-0.1230806487,0.06077011511,0.9157859086,0,0.34082066897
2020,C,Marvin Bagley III,39,60.43,Sacramento Kings,190,8,2020,C,8,13,6,25.70,6.00,12.80,0.467,0.30,1.70,0.182,5.70,11.20,0.510,0.479,1.90,2.40,0.806,2.20,5.20,7.50,0.80,0.50,0.90,1.40,3.30,14.20,15.60,1.0794873278,-0.3986218342,0.6893806644,0.0290543203,0.2256478575,-0.76115662163,-0.0691525556,0.5664919521,0.30279678225
2020,C,Donta Hall,40,59.97,Brooklyn Nets,1883,25,2020,C,2,5,0,17.00,2.80,3.60,0.778,0.00,0.00,,2.80,3.60,0.778,0.778,1.00,2.40,0.417,1.60,3.00,4.60,0.40,0.40,1.00,0.60,2.80,6.60,17.20,-0.2284314121,-0.716822829,-0.2423490583,-0.2659277132,0.4000121106,1.85326991333,0.1625976712,-0.5664919521,0.2758515771
2020,C,Dewayne Dedmon,41,59.24,Atlanta Hawks,1141,24,2020,C,10,10,8,23.30,3.30,8.40,0.393,0.80,3.60,0.222,2.50,4.80,0.521,0.440,0.70,0.80,0.875,1.40,6.80,8.20,0.70,1.00,1.50,1.00,4.00,8.10,11.40,0.0297104444,-0.4781720829,0.9142809423,1.503964488,1.2718333762,-1.10216877837,-0.6774969012,0,0.23306125854
2020,C,Willie Cauley-Stein,42,59.2,Golden State Warriors,786,9,2020,C,7,41,37,22.90,3.50,6.30,0.560,0.00,0.00,,3.50,6.30,0.560,0.560,0.90,1.40,0.614,1.70,4.50,6.20,1.50,1.10,1.20,0.90,2.50,7.90,16.20,-0.0047084698,0.1582299066,0.2717087197,1.7989465215,0.7487406168,-0.0529006038,0.0177537794,-0.141622988,0.2306643496
2020,C,Al Horford,43,59.12,Philadelphia 76ers,2166,21,2020,C,19,67,61,30.20,4.80,10.60,0.450,1.50,4.20,0.350,3.30,6.40,0.516,0.520,0.90,1.20,0.763,1.50,5.30,6.80,4.00,0.80,0.90,1.20,2.10,11.90,15.70,0.6836698144,2.1469861238,0.4644803865,0.9140004209,0.2256478575,-0.40265666199,-0.0546681665,0.283245976,0.22616242975
2020,C,Alex Len,44,58.72,Sacramento Kings,2824,8,2020,C,12,15,3,15.00,2.30,3.90,0.593,0.10,0.20,0.667,2.20,3.70,0.589,0.610,1.10,1.60,0.708,2.10,4.00,6.10,0.50,0.20,1.00,1.10,2.30,5.90,18.20,-0.3488976119,-0.6372725803,0.2395801086,-0.8558917803,0.4000121106,0.38429446893,0.307441563,0.141622988,0.20278146068
2020,C,Willie Cauley-Stein,45,58.53,Dallas Mavericks,786,4,2020,C,7,13,2,12.10,2.40,3.50,0.689,0.00,0.10,0.000,2.40,3.40,0.705,0.689,0.40,0.70,0.556,1.00,3.60,4.60,0.80,0.30,0.80,0.40,1.50,5.20,22.20,-0.4693638116,-0.3986218342,-0.2423490583,-0.5609097468,0.0512836044,1.07506268386,0.8868171302,-0.8497379281,0.1916583535
2020,C,Cody Zeller,46,57.87,Charlotte Hornets,5397,27,2020,C,11,58,39,23.10,4.30,8.30,0.524,0.30,1.30,0.240,4.00,7.00,0.577,0.543,2.10,3.10,0.682,2.80,4.30,7.10,1.50,0.70,0.40,1.30,2.40,11.10,18.80,0.5459941576,0.1582299066,0.5608662199,0.6190183874,-0.6461734081,-0.20154692853,0.3943478981,0.4248689641,0.15259902539
2020,C,Tacko Fall,47,57.75,Boston Celtics,1426,15,2020,C,3,7,0,4.70,1.60,2.00,0.786,0.00,0.00,,1.60,2.00,0.786,0.786,0.10,0.40,0.333,0.10,2.00,2.10,0.10,0.10,0.60,0.40,1.00,3.30,28.40,-0.7963434966,-0.955473575,-1.0455643365,-1.1508738139,-0.2974449019,1.92322112496,1.7848492594,-0.8497379281,0.14559437408
2020,C,Alex Len,48,57.35,Atlanta Hawks,2824,24,2020,C,12,40,9,18.60,3.60,6.50,0.546,0.40,1.40,0.250,3.20,5.10,0.627,0.573,1.30,2.00,0.630,1.70,4.00,5.80,1.10,0.50,0.80,1.00,2.30,8.70,17.50,0.1329671871,-0.1599710881,0.1431942752,0.0290543203,0.0512836044,0.06077011511,0.2060508388,0,0.12216498207
