ID,Season,Player Name,Team,Position,Games Played (G),Games Started (GS),Minutes Played (MP),Field Goals Made (FG),Field Goal Attempts (FGA),Field Goal Percentage (FG%),3-Point Field Goals Made (3P),3-Point Field Goal Attempts (3PA),3-Point Field Goal Percentage (3P%),2-Point Field Goals Made (2P),2-Point Field Goal Attempts (2PA),2-Point Field Goal Percentage (2P%),Effective Field Goal Percentage (eFG%),Free Throws Made (FT),Free Throw Attempts (FTA),Free Throw Percentage (FT%),Offensive Rebounds (ORB),Offensive Rebound Percentage (ORB%),Defensive Rebounds (DRB),Defensive Rebound Percentage (DRB%),Total Rebounds (TRB),Total Rebounds Per Game,Total Rebound Percentage (TRB%),Assists (AST),Assist Percentage (AST%),Steals (STL),Steal Percentage (STL%),Blocks (BLK),Block Percentage (BLK%),Personal Fouls (PF),Points (PTS),Turnovers (TOV),Turnover Percentage (TOV%),Player Efficiency Rating (PER)
34,2020,Spencer Dinwiddie,BRK,PG,64,49,31.2,6.6,16.0,.415,1.9,6.3,.308,4.7,9.7,.485,.476,5.4,7.0,.778,0.5,1.7,3.0,9.6,3.5,3.5,5.7,6.8,35.0,0.6,0.9,0.3,0.9,2.8,20.6,2.7,12.5,17.8
35,2020,Kristaps Porziņģis,DAL,C,57,57,31.8,7.0,16.4,.427,2.5,7.1,.352,4.5,9.3,.484,.503,4.0,5.0,.799,1.8,5.9,7.7,25.1,9.5,9.5,15.6,1.8,8.8,0.7,1.1,2.0,5.4,3.2,20.4,1.6,8.0,20.2
36,2020,Kemba Walker,BOS,PG,56,56,31.1,6.8,15.9,.425,3.2,8.4,.381,3.5,7.4,.476,.526,3.7,4.3,.864,0.6,2.2,3.2,11.0,3.9,3.9,6.7,4.8,24.2,0.9,1.3,0.5,1.5,1.6,20.4,2.1,10.5,20.0
37,2020,Jaylen Brown,BOS,SG,57,57,33.9,7.5,15.6,.481,2.3,5.9,.382,5.2,9.6,.543,.554,3.1,4.3,.724,1.1,3.5,5.3,16.5,6.4,6.4,10.1,2.1,9.7,1.1,1.6,0.4,1.0,2.9,20.3,2.2,11.2,16.9
38,2020,Bojan Bogdanović,UTA,SF,63,63,33.1,6.6,14.8,.447,3.0,7.3,.414,3.6,7.6,.479,.548,4.0,4.4,.903,0.6,2.1,3.5,11.2,4.1,4.1,6.8,2.1,10.0,0.5,0.8,0.1,0.3,1.7,20.2,2.5,13.1,15.6
39,2020,Jimmy Butler,MIA,SF,58,58,33.8,5.9,13.1,.455,0.5,2.1,.244,5.4,11.0,.495,.474,7.6,9.1,.834,1.8,6.3,4.8,15.4,6.7,6.7,11.0,6.0,28.1,1.8,2.6,0.6,1.6,1.4,19.9,2.2,11.4,23.6
40,2020,Nikola Jokić,DEN,C,73,73,32.0,7.7,14.7,.528,1.1,3.5,.314,6.6,11.2,.594,.565,3.4,4.1,.817,2.3,8.0,7.5,26.1,9.7,9.7,17.1,7.0,35.2,1.2,1.8,0.6,1.7,3.0,19.9,3.1,15.8,24.9
41,2020,T.J. Warren,IND,SF,67,67,32.9,8.0,14.9,.536,1.4,3.4,.403,6.6,11.5,.575,.581,2.5,3.0,.819,1.0,3.4,3.2,10.5,4.2,4.2,7.0,1.5,7.1,1.2,1.7,0.5,1.4,2.8,19.8,1.3,7.2,18.4
42,2020,Tobias Harris,PHI,PF,72,72,34.3,7.7,16.3,.471,1.8,5.0,.367,5.9,11.3,.517,.527,2.4,3.0,.806,1.0,3.1,5.9,19.1,6.9,6.9,11.1,3.2,14.6,0.7,1.0,0.6,1.4,2.3,19.6,1.4,7.6,17.2
43,2020,Nikola Vučević,ORL,C,62,62,32.2,8.0,16.7,.477,1.6,4.7,.339,6.4,12.0,.531,.525,2.1,2.7,.784,2.3,7.3,8.6,29.7,10.9,10.9,18.1,3.6,19.5,0.9,1.3,0.8,2.1,2.2,19.6,1.4,7.4,21.9
44,2020,Julius Randle,NYK,PF,64,64,32.5,7.2,15.7,.460,1.0,3.6,.277,6.2,12.1,.515,.492,4.0,5.5,.733,2.4,7.5,7.4,24.9,9.7,9.7,16.0,3.1,15.8,0.8,1.2,0.3,1.0,2.8,19.5,3.0,14.3,17.5
45,2020,Kyle Lowry,TOR,PG,58,58,36.2,5.8,13.8,.416,2.8,8.0,.352,2.9,5.8,.504,.518,5.1,5.9,.857,0.6,1.6,4.5,12.8,5.0,5.0,7.3,7.5,30.6,1.4,1.9,0.4,1.2,3.3,19.4,3.1,15.7,17.7
46,2020,Buddy Hield,SAC,SG,72,44,30.8,6.9,16.1,.429,3.8,9.6,.394,3.2,6.6,.479,.545,1.6,1.9,.846,0.8,2.8,3.8,14.1,4.6,4.6,8.3,3.0,15.5,0.9,1.4,0.2,0.7,2.3,19.2,2.3,12.1,16.0
47,2020,Jrue Holiday,NOP,SG,61,61,34.7,7.5,16.5,.455,2.0,5.7,.353,5.5,10.8,.509,.516,2.1,3.0,.709,1.3,3.8,3.5,10.9,4.8,4.8,7.3,6.7,29.1,1.6,2.2,0.8,1.9,2.4,19.1,3.0,14.5,17.0
48,2020,Shai Gilgeous-Alexander,OKC,SG,70,70,34.7,6.8,14.5,.471,1.2,3.6,.347,5.6,10.9,.512,.514,4.1,5.1,.807,0.7,2.2,5.2,16.1,5.9,5.9,9.4,3.3,15.2,1.1,1.6,0.7,1.7,1.7,19.0,1.9,10.3,17.7
49,2020,LaMarcus Aldridge,SAS,C,53,53,33.1,7.4,15.0,.493,1.2,3.0,.389,6.2,12.0,.519,.532,3.0,3.6,.827,1.9,6.3,5.5,17.8,7.4,7.4,12.0,2.4,11.4,0.7,1.0,1.6,4.4,2.4,18.9,1.4,7.8,19.7
50,2020,Dennis Schröder,OKC,PG,65,2,30.8,7.0,14.8,.469,1.9,5.0,.385,5.0,9.8,.513,.534,3.0,3.6,.839,0.3,1.1,3.3,11.6,3.6,3.6,6.5,4.0,21.9,0.7,1.1,0.2,0.6,2.2,18.9,2.6,13.4,16.7
51,2020,Danilo Gallinari,OKC,PF,62,62,29.6,5.8,13.2,.438,2.9,7.1,.405,2.9,6.1,.476,.547,4.3,4.8,.893,0.5,2.1,4.6,16.8,5.2,5.2,9.7,1.9,10.3,0.7,1.1,0.1,0.2,1.2,18.7,1.2,7.4,19.5
52,2020,Caris LeVert,BRK,SG,45,31,29.6,6.9,16.3,.425,1.8,4.9,.364,5.1,11.4,.451,.480,3.1,4.4,.711,1.1,3.9,3.1,10.7,4.2,4.2,7.4,4.4,25.0,1.2,1.9,0.2,0.6,1.8,18.7,2.6,12.6,16.1
53,2020,Kelly Oubre Jr.,PHO,SF,56,55,34.5,6.7,14.8,.452,1.9,5.5,.352,4.7,9.3,.511,.517,3.4,4.4,.780,1.2,3.8,5.3,17.1,6.4,6.4,10.4,1.5,6.6,1.3,1.7,0.7,1.8,3.4,18.7,1.5,8.2,14.9
54,2020,Montrezl Harrell,LAC,C,63,2,27.8,7.5,12.9,.580,0.0,0.3,.000,7.5,12.6,.593,.580,3.7,5.6,.658,2.6,9.9,4.5,16.3,7.1,7.1,13.2,1.7,10.3,0.6,1.1,1.1,3.6,2.3,18.6,1.7,10.1,23.2
55,2020,Evan Fournier,ORL,SF,66,66,31.5,6.6,14.1,.467,2.6,6.6,.399,4.0,7.5,.527,.560,2.7,3.3,.818,0.3,0.9,2.3,8.2,2.6,2.6,4.4,3.2,16.6,1.1,1.7,0.2,0.7,2.4,18.5,1.9,10.9,16.4
56,2020,Jamal Murray,DEN,PG,59,59,32.3,6.9,15.2,.456,1.9,5.5,.346,5.0,9.7,.519,.519,2.8,3.1,.881,0.8,2.7,3.2,11.2,4.0,4.0,6.9,4.8,22.9,1.1,1.7,0.3,0.8,1.7,18.5,2.2,11.5,17.7
57,2020,Domantas Sabonis,IND,PF,62,62,34.8,7.4,13.7,.540,0.3,1.1,.254,7.1,12.6,.565,.550,3.5,4.8,.723,3.0,9.7,9.4,29.3,12.4,12.4,19.6,5.0,21.7,0.8,1.1,0.5,1.2,3.1,18.5,2.7,14.8,20.7
58,2020,Deandre Ayton,PHO,C,38,32,32.5,8.2,14.9,.546,0.1,0.3,.231,8.1,14.6,.553,.548,1.8,2.3,.753,3.9,13.0,7.6,26.3,11.5,11.5,19.6,1.9,9.7,0.7,1.0,1.5,4.1,3.1,18.2,2.1,11.6,20.0
59,2020,Devonte' Graham,CHO,PG,63,53,35.1,5.8,15.3,.382,3.5,9.3,.373,2.4,6.0,.397,.495,3.0,3.7,.820,0.7,2.0,2.7,8.7,3.4,3.4,5.2,7.5,35.3,1.0,1.4,0.2,0.6,1.8,18.2,2.9,14.5,15.8
60,2020,Lou Williams,LAC,PG,65,8,28.7,6.0,14.4,.418,1.7,4.8,.352,4.3,9.6,.451,.477,4.5,5.2,.861,0.5,1.8,2.6,9.2,3.1,3.1,5.6,5.6,30.1,0.7,1.1,0.2,0.6,1.2,18.2,2.8,14.4,17.3
61,2020,Derrick Rose,DET,PG,50,15,26.0,7.4,15.1,.490,0.9,2.9,.306,6.5,12.1,.535,.520,2.4,2.8,.871,0.5,2.3,1.9,8.3,2.4,2.4,5.3,5.6,40.5,0.8,1.5,0.3,1.0,1.0,18.1,2.5,13.4,21.0
62,2020,Terry Rozier,CHO,PG,63,63,34.3,6.3,14.9,.423,2.7,6.7,.407,3.6,8.2,.436,.514,2.6,3.0,.874,0.8,2.4,3.6,11.8,4.4,4.4,7.0,4.1,20.4,1.0,1.4,0.2,0.4,2.0,18.0,2.2,12.1,14.8
63,2020,Ja Morant,MEM,PG,67,67,31.0,6.7,14.0,.477,0.9,2.7,.335,5.8,11.3,.511,.509,3.6,4.6,.776,0.8,2.6,3.1,10.4,3.9,3.9,6.6,7.3,35.2,0.9,1.3,0.3,0.8,1.6,17.8,3.3,17.0,17.4
64,2020,Andre Drummond,2TM,C,57,56,33.0,7.3,13.8,.533,0.1,0.6,.143,7.2,13.1,.551,.536,3.0,5.2,.575,4.4,14.9,10.8,37.5,15.2,15.2,26.0,2.7,13.6,1.9,2.8,1.6,4.2,3.5,17.7,3.6,18.2,22.0
65,2020,Andre Drummond,DET,C,49,48,33.8,7.3,13.9,.530,0.0,0.4,.048,7.3,13.4,.546,.531,3.0,5.2,.584,4.6,15.3,11.2,38.2,15.8,15.8,26.6,2.8,14.0,2.0,2.9,1.7,4.2,3.6,17.8,3.6,18.0,22.1
66,2020,Andre Drummond,CLE,C,8,8,28.1,7.3,13.1,.552,0.5,1.8,.286,6.8,11.4,.593,.571,2.5,4.9,.513,3.0,11.7,8.1,32.4,11.1,11.1,22.0,1.8,10.8,1.5,2.6,1.4,4.2,3.1,17.5,3.6,19.2,21.1
67,2020,Kevin Love,CLE,PF,56,56,31.8,5.8,13.0,.450,2.6,7.0,.374,3.2,6.0,.537,.550,3.3,3.9,.854,1.0,3.3,8.8,31.1,9.8,9.8,17.1,3.2,15.4,0.6,0.9,0.3,0.9,1.6,17.6,2.5,14.5,17.9
68,2020,Jusuf Nurkić,POR,C,8,8,31.6,6.8,13.6,.495,0.3,1.3,.200,6.5,12.4,.525,.505,3.9,4.4,.886,2.9,9.6,7.4,24.1,10.3,10.3,16.9,4.0,19.1,1.4,2.1,2.0,5.4,4.9,17.6,2.4,13.2,22.6
69,2020,Chris Paul,OKC,PG,70,70,31.5,6.2,12.7,.489,1.6,4.3,.365,4.6,8.3,.554,.552,3.6,4.0,.907,0.4,1.3,4.6,15.7,5.0,5.0,8.7,6.7,34.0,1.6,2.4,0.2,0.4,2.3,17.6,2.3,13.8,21.7
70,2020,Fred VanVleet,TOR,SG,54,54,35.7,5.9,14.3,.413,2.7,6.9,.390,3.2,7.4,.434,.507,3.1,3.7,.848,0.3,1.0,3.4,9.9,3.8,3.8,5.6,6.6,27.7,1.9,2.5,0.3,0.9,2.4,17.6,2.2,12.3,16.3
71,2020,Gordon Hayward,BOS,SF,52,52,33.5,6.7,13.5,.500,1.6,4.3,.383,5.1,9.2,.554,.561,2.4,2.8,.855,1.1,3.4,5.6,17.8,6.7,6.7,10.7,4.1,18.7,0.7,1.1,0.4,1.2,1.8,17.5,1.8,11.2,18.1
72,2020,Jaren Jackson Jr.,MEM,C,57,57,28.5,6.2,13.2,.469,2.5,6.5,.394,3.6,6.8,.540,.565,2.4,3.3,.747,1.0,3.6,3.6,13.2,4.6,4.6,8.5,1.4,7.2,0.7,1.2,1.6,5.0,4.1,17.4,1.7,10.6,16.3
73,2020,Marcus Morris,2TM,PF,62,62,31.2,5.7,13.1,.438,2.3,5.6,.408,3.4,7.5,.461,.526,2.9,3.5,.823,1.0,3.2,4.1,14.0,5.0,5.0,8.5,1.4,6.8,0.8,1.2,0.5,1.4,2.9,16.7,1.6,9.7,14.3
74,2020,Marcus Morris,NYK,SF,43,43,32.3,6.5,14.8,.442,2.7,6.1,.439,3.8,8.7,.444,.533,3.8,4.6,.823,1.1,3.6,4.3,14.7,5.4,5.4,9.0,1.4,6.8,0.8,1.2,0.4,1.2,3.0,19.6,1.7,9.2,16.5
75,2020,Marcus Morris,LAC,PF,19,19,28.9,3.9,9.2,.425,1.4,4.4,.310,2.5,4.7,.533,.500,0.9,1.2,.818,0.6,2.1,3.5,12.3,4.1,4.1,7.4,1.4,6.8,0.7,1.1,0.7,2.1,2.7,10.1,1.3,11.6,8.9
76,2020,Malcolm Brogdon,IND,PG,54,54,30.9,6.0,13.8,.438,1.4,4.3,.326,4.6,9.5,.488,.489,3.1,3.4,.892,0.9,3.1,4.0,14.1,4.9,4.9,8.6,7.1,33.8,0.6,1.0,0.2,0.5,1.8,16.5,2.4,13.7,17.7
77,2020,Ben Simmons,PHI,PG,57,57,35.4,6.6,11.4,.580,0.0,0.1,.286,6.5,11.2,.583,.581,3.2,5.2,.621,2.0,6.2,5.8,18.2,7.8,7.8,12.2,8.0,33.8,2.1,2.9,0.6,1.4,3.3,16.4,3.5,20.4,20.4
78,2020,Dillon Brooks,MEM,SG,73,73,28.9,6.0,14.6,.407,2.0,5.6,.358,3.9,9.0,.438,.476,2.2,2.8,.808,0.9,3.5,2.4,8.6,3.3,3.3,6.1,2.1,10.5,0.9,1.4,0.4,1.1,3.8,16.2,1.7,9.7,11.3
79,2020,Goran Dragić,MIA,PG,59,3,28.2,5.4,12.3,.441,2.1,5.7,.367,3.3,6.5,.505,.526,3.2,4.2,.776,0.5,2.0,2.7,10.2,3.2,3.2,6.3,5.1,29.2,0.7,1.2,0.2,0.6,2.1,16.2,2.4,14.8,16.3
80,2020,Norman Powell,TOR,SG,52,26,28.4,5.7,11.5,.495,2.1,5.3,.399,3.6,6.3,.575,.586,2.5,2.9,.843,0.5,1.9,3.2,11.4,3.7,3.7,6.8,1.8,9.7,1.2,1.9,0.4,1.4,2.1,16.0,1.5,10.4,16.8
81,2020,Bam Adebayo,MIA,PF,72,72,33.6,6.1,11.0,.557,0.0,0.2,.143,6.1,10.8,.564,.558,3.7,5.3,.691,2.4,8.5,7.8,24.9,10.2,10.2,17.0,5.1,24.2,1.1,1.7,1.3,3.8,2.5,15.9,2.8,17.6,20.3
82,2020,Tim Hardaway Jr.,DAL,SG,71,58,29.5,5.4,12.5,.434,2.9,7.2,.398,2.5,5.2,.485,.550,2.1,2.6,.819,0.4,1.3,2.9,10.2,3.3,3.3,5.8,1.9,9.7,0.6,0.9,0.1,0.2,1.8,15.8,1.0,6.7,14.5
83,2020,Luke Kennard,DET,SG,28,25,32.9,5.4,12.2,.442,2.6,6.5,.399,2.8,5.7,.491,.548,2.4,2.7,.893,0.3,1.1,3.2,11.1,3.5,3.5,6.0,4.1,19.2,0.4,0.6,0.2,0.5,2.3,15.8,1.5,10.3,14.4
