TeamName,PrevSeason,CurrSeason,Standing_Previous,Standing_Current,Improvement,Category,team_id,season,games,wins,losses,W/L%,standing,conference_standing,playoff_result,conference_champion,champion,MP,pace,relative_pace,ORtg,relative_ORtg,DRtg,relative_DRtg,Pts/G,Opp Pts/G,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,eFG%,ft,fta,ft%,ft/fga,orb,orb%,drb,drb%,trb,trb/G,ast,ast/G,stl,stl/G,blk,blk/G,tov,tov/G,fouls,fouls/G,team_id,season,games,wins,losses,W/L%,standing,conference_standing,playoff_result,conference_champion,champion,MP,pace,relative_pace,ORtg,relative_ORtg,DRtg,relative_DRtg,Pts/G,Opp Pts/G,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,eFG%,ft,fta,ft%,ft/fga,orb,orb%,drb,drb%,trb,trb/G,ast,ast/G,stl,stl/G,blk,blk/G,tov,tov/G,fouls,fouls/G
Chicago Bulls,2021,2022,21,12,9,High Progress,23,2022,82,46,36,0.561,12,6,Eastern Conference First Round,0,0,19730,98.3,0.1,113.2,1.2,113.6,1.6,112,112,3422,7127,0.48,872,2364,0.369,2550,4763,0.535,0.541,1436,1766,0.813,0.201,711,20.4,2760,78.3,3471,42.3,1958,23.9,585,7.1,336,4.1,1053,12.8,1540,18.8,23,2021,72,31,41,0.431,21,11,Not Qualified,0,0,17380,99,-0.2,111.1,-1.2,112,-0.3,111,111.6,3035,6380,0.476,904,2446,0.37,2131,3934,0.542,0.547,995,1258,0.791,0.156,693,22.3,2544,80.3,3237,45,1927,26.8,482,6.7,304,4.2,1089,15.1,1362,18.9
Dallas Mavericks,2021,2022,8,5,3,No Change,4,2022,82,52,30,0.634,5,4,Western Conference Finals,0,0,19755,95.4,-2.8,112.8,0.8,109.4,-2.6,108,104.7,3222,6982,0.461,1073,3063,0.35,2149,3919,0.548,0.538,1341,1739,0.771,0.192,759,21.3,2769,78,3528,43,1918,23.4,552,6.7,325,4,1025,12.5,1612,19.7,4,2021,72,42,30,0.583,8,5,Western Conference First Round,0,0,17305,97.3,-1.9,115.4,3.1,113,0.7,112,110.2,2958,6287,0.47,994,2744,0.362,1964,3543,0.554,0.55,1186,1524,0.778,0.189,657,21.1,2463,77.8,3120,43.3,1647,22.9,450,6.3,311,4.3,869,12.1,1396,19.4
Charlotte Hornets,2021,2022,19,17,2,No Change,27,2022,82,43,39,0.524,17,10,Not Qualified,0,0,19880,100,1.8,114.1,2.1,113.7,1.7,115,114.9,3508,7497,0.468,1143,3130,0.365,2365,4367,0.542,0.544,1298,1753,0.74,0.173,888,23.3,2767,74.8,3655,44.6,2302,28.1,707,8.6,402,4.9,1087,13.3,1629,19.9,27,2021,72,33,39,0.458,19,10,Not Qualified,0,0,17355,98.3,-0.9,110.9,-1.4,112.8,0.5,110,111.4,2875,6324,0.455,985,2666,0.369,1890,3658,0.517,0.532,1146,1505,0.761,0.181,762,23.5,2389,75.7,3151,43.8,1933,26.8,565,7.8,344,4.8,1069,14.8,1297,18
New Orleans Pelicans,2021,2022,22,20,2,No Change,6,2022,82,36,46,0.439,20,9,Western Conference First Round,0,0,19755,97.2,-1,112,0,113,1,109,110.3,3294,7212,0.457,873,2629,0.332,2421,4583,0.528,0.517,1501,1903,0.789,0.208,981,26.9,2726,78.2,3707,45.2,2047,25,680,8.3,328,4,1153,14.1,1612,19.7,6,2021,72,31,41,0.431,22,11,Not Qualified,0,0,17430,100.1,0.9,113.5,1.2,113.8,1.5,115,114.9,3060,6412,0.477,762,2190,0.348,2298,4222,0.544,0.537,1369,1878,0.729,0.214,845,26.3,2568,80,3413,47.4,1872,26,545,7.6,315,4.4,1052,14.6,1295,18
Detroit Pistons,2021,2022,29,28,1,No Change,29,2022,82,23,59,0.28,28,14,Not Qualified,0,0,19780,98.4,0.2,106,-6,113.8,1.8,105,112.5,3129,7267,0.431,925,2838,0.326,2204,4429,0.498,0.494,1413,1806,0.782,0.194,900,23.4,2625,75.6,3525,43,1924,23.5,630,7.7,393,4.8,1163,14.2,1799,21.9,29,2021,72,20,52,0.278,29,15,Not Qualified,0,0,17430,97.9,-1.3,108,-4.3,112.5,0.2,107,111.1,2783,6162,0.452,832,2370,0.351,1951,3792,0.515,0.519,1278,1683,0.759,0.207,694,21.9,2381,76.9,3075,42.7,1743,24.2,531,7.4,371,5.2,1075,14.9,1477,20.5
Phoenix Suns,2021,2022,2,1,1,No Change,5,2022,82,64,18,0.78,1,1,Western Conference Semifinals,0,0,19730,99.8,1.6,114.8,2.8,107.3,-4.7,115,107.3,3581,7389,0.485,951,2616,0.364,2630,4773,0.551,0.549,1303,1635,0.797,0.176,801,22.3,2913,77.1,3714,45.3,2244,27.4,702,8.6,359,4.4,1060,12.9,1633,19.9,5,2021,72,51,21,0.708,2,2,Finals,1,0,17480,97.2,-2,117.2,4.9,111.3,-1,115,109.5,3118,6357,0.49,940,2490,0.378,2178,3867,0.563,0.564,1124,1347,0.834,0.177,630,20.8,2462,78.5,3092,42.9,1939,26.9,517,7.2,312,4.3,902,12.5,1374,19.1
Oklahoma City Thunder,2021,2022,27,27,0,No Change,0,2022,82,24,58,0.293,27,14,Not Qualified,0,0,19805,98.6,0.4,104.6,-7.4,112.8,0.8,104,111.8,3141,7310,0.43,991,3066,0.323,2150,4244,0.507,0.497,1233,1632,0.756,0.169,854,21.8,2887,76.1,3741,45.6,1822,22.2,622,7.6,380,4.6,1145,14,1497,18.3,0,2021,72,22,50,0.306,27,14,Not Qualified,0,0,17355,101,1.8,103.5,-8.8,114,1.7,105,115.6,2795,6338,0.441,857,2529,0.339,1938,3809,0.509,0.509,1113,1536,0.725,0.176,715,21.2,2568,77.9,3283,45.6,1588,22.1,504,7,316,4.4,1162,16.1,1305,18.1
Milwaukee Bucks,2021,2022,7,7,0,No Change,17,2022,82,51,31,0.622,7,3,Eastern Conference Semifinals,0,0,19755,99.9,1.7,115.1,3.1,111.8,-0.2,116,112.1,3429,7331,0.468,1153,3151,0.366,2276,4180,0.544,0.546,1459,1881,0.776,0.199,840,23,2990,78.6,3830,46.7,1960,23.9,623,7.6,326,4,1100,13.4,1494,18.2,17,2021,72,46,26,0.639,7,3,Finals,1,1,17330,102.2,3,117.2,4.9,111.4,-0.9,120,114.2,3221,6610,0.487,1038,2669,0.389,2183,3941,0.554,0.566,1169,1539,0.76,0.177,741,23.3,2724,79.7,3465,48.1,1834,25.5,585,8.1,334,4.6,995,13.8,1244,17.3
Houston Rockets,2021,2022,30,30,0,No Change,10,2022,82,20,62,0.244,30,15,Not Qualified,0,0,19755,100.9,2.7,108.4,-3.6,116.7,4.7,110,118.2,3229,7083,0.456,1105,3170,0.349,2124,3913,0.543,0.534,1434,2010,0.713,0.202,786,21.7,2660,74.4,3446,42,1932,23.6,600,7.3,382,4.7,1351,16.5,1692,20.6,10,2021,72,17,55,0.236,30,15,Not Qualified,0,0,17305,101.4,2.2,107.1,-5.2,114.9,2.6,109,116.7,2826,6372,0.444,992,2923,0.339,1834,3449,0.532,0.521,1189,1606,0.74,0.187,671,19.8,2396,77.1,3067,42.6,1699,23.6,546,7.6,361,5,1060,14.7,1407,19.5
Orlando Magic,2021,2022,28,29,-1,No Change,19,2022,82,22,60,0.268,29,15,Not Qualified,0,0,19780,99.2,1,104.5,-7.5,112.5,0.5,104,112.2,3139,7240,0.434,999,3022,0.331,2140,4218,0.507,0.503,1270,1614,0.787,0.175,746,19.8,2885,77.2,3631,44.3,1947,23.7,555,6.8,367,4.5,1188,14.5,1612,19.7,19,2021,72,21,51,0.292,28,14,Not Qualified,0,0,17330,98.7,-0.5,105.1,-7.2,114.5,2.2,104,113.3,2754,6423,0.429,784,2288,0.343,1970,4135,0.476,0.49,1196,1543,0.775,0.186,747,21.6,2525,78.2,3272,45.4,1571,21.8,496,6.9,318,4.4,924,12.8,1237,17.2
Sacramento Kings,2021,2022,23,24,-1,No Change,8,2022,82,30,52,0.366,24,12,Not Qualified,0,0,19805,99.8,1.6,109.9,-2.1,115.3,3.3,110,115.8,3321,7223,0.46,937,2722,0.344,2384,4501,0.53,0.525,1466,1908,0.768,0.203,784,21.3,2737,76,3521,42.9,1943,23.7,588,7.2,369,4.5,1156,14.1,1552,18.9,8,2021,72,31,41,0.431,23,12,Not Qualified,0,0,17305,100,0.8,113.6,1.3,117.2,4.9,114,117.4,3067,6382,0.481,874,2400,0.364,2193,3982,0.551,0.549,1181,1585,0.745,0.185,674,21.3,2307,75,2981,41.4,1836,25.5,543,7.5,358,5,963,13.4,1400,19.4
San Antonio Spurs,2021,2022,20,22,-2,No Change,13,2022,82,34,48,0.415,22,10,Not Qualified,0,0,19805,100,1.8,112.4,0.4,112.3,0.3,113,113,3546,7601,0.467,925,2626,0.352,2621,4975,0.527,0.527,1262,1673,0.754,0.166,901,23.7,2815,75.1,3716,45.3,2289,27.9,626,7.6,403,4.9,1043,12.7,1483,18.1,13,2021,72,33,39,0.458,20,10,Not Qualified,0,0,17480,98.9,-0.3,111,-1.3,112.8,0.5,111,112.8,3014,6518,0.462,716,2046,0.35,2298,4472,0.514,0.517,1254,1584,0.792,0.192,669,20,2489,77.3,3158,43.9,1759,24.4,505,7,366,5.1,821,11.4,1293,18
Atlanta Hawks,2021,2022,12,16,-4,Regression,24,2022,82,43,39,0.524,16,9,Eastern Conference First Round,0,0,19705,97.7,-0.5,116.5,4.5,114.9,2.9,114,112.4,3401,7241,0.47,1056,2821,0.374,2345,4420,0.531,0.543,1485,1829,0.812,0.205,823,23,2783,76.9,3606,44,2017,24.6,587,7.2,348,4.2,972,11.9,1534,18.7,24,2021,72,41,31,0.569,12,5,Eastern Conference Finals,0,0,17405,97.6,-1.6,115.7,3.4,113.3,1,114,111.4,2937,6281,0.468,895,2402,0.373,2042,3879,0.526,0.539,1417,1745,0.812,0.226,760,24.4,2525,77.8,3285,45.6,1737,24.1,503,7,342,4.8,953,13.2,1392,19.3
Washington Wizards,2021,2022,17,21,-4,Regression,28,2022,82,35,47,0.427,21,12,Not Qualified,0,0,19830,97,-1.2,111.1,-0.9,114.5,2.5,109,112,3327,7056,0.472,860,2512,0.342,2467,4544,0.543,0.532,1393,1778,0.783,0.197,737,20.9,2798,76.9,3535,43.1,2052,25,522,6.4,406,5,1077,13.1,1545,18.8,28,2021,72,34,38,0.472,17,8,Eastern Conference First Round,0,0,17405,104.1,4.9,111.2,-1.1,113,0.7,117,118.5,3108,6547,0.475,733,2088,0.351,2375,4459,0.533,0.531,1449,1884,0.769,0.221,697,21.3,2557,77.6,3254,45.2,1835,25.5,528,7.3,297,4.1,1037,14.4,1555,21.6
Philadelphia 76ers,2021,2022,3,8,-5,Regression,21,2022,82,51,31,0.622,8,4,Eastern Conference Semifinals,0,0,19805,96.2,-2,113.5,1.5,110.8,-1.2,110,107.3,3230,6932,0.466,950,2608,0.364,2280,4324,0.527,0.534,1605,1955,0.821,0.232,700,20.1,2770,76.8,3470,42.3,1945,23.7,633,7.7,435,5.3,1027,12.5,1590,19.4,21,2021,72,49,23,0.681,3,1,Eastern Conference Semifinals,0,0,17430,99.5,0.3,113.2,0.9,107.6,-4.7,114,108.1,2981,6257,0.476,811,2169,0.374,2170,4088,0.531,0.541,1409,1836,0.767,0.225,722,23.2,2522,78.2,3244,45.1,1706,23.7,655,9.1,447,6.2,1040,14.4,1456,20.2
Denver Nuggets,2021,2022,5,11,-6,Regression,1,2022,82,48,34,0.585,11,6,Western Conference First Round,0,0,19805,97.8,-0.4,114.5,2.5,112.1,0.1,113,110.4,3416,7079,0.483,1039,2944,0.353,2377,4135,0.575,0.556,1372,1725,0.795,0.194,752,21.9,2865,78.3,3617,44.1,2279,27.8,592,7.2,305,3.7,1189,14.5,1639,20,1,2021,72,47,25,0.653,5,3,Western Conference Semifinals,0,0,17480,97.1,-2.1,117.1,4.8,112.1,-0.2,115,110.1,3114,6422,0.485,927,2462,0.377,2187,3960,0.552,0.557,1129,1406,0.803,0.176,758,24.7,2442,78.9,3200,44.4,1933,26.8,582,8.1,323,4.5,972,13.5,1374,19.1
New York Knicks,2021,2022,11,19,-8,Regression,16,2022,82,37,45,0.451,19,11,Not Qualified,0,0,19780,95.9,-2.3,110.4,-1.6,110.5,-1.5,107,106.6,3088,7069,0.437,1082,3029,0.357,2006,4040,0.497,0.513,1473,1980,0.744,0.208,941,25.1,2841,78.8,3782,46.1,1793,21.9,570,7,399,4.9,1087,13.3,1672,20.4,16,2021,72,41,31,0.569,11,4,Eastern Conference First Round,0,0,17430,95.9,-3.3,110.6,-1.7,108.2,-4.1,107,104.7,2839,6225,0.456,847,2163,0.392,1992,4062,0.49,0.524,1181,1506,0.784,0.19,696,21.9,2554,78.6,3250,45.1,1541,21.4,507,7,365,5.1,932,12.9,1473,20.5
Utah Jazz,2021,2022,1,9,-8,Regression,11,2022,82,49,33,0.598,9,5,Western Conference First Round,0,0,19730,97.1,-1.1,116.7,4.7,110.5,-1.5,114,107.6,3327,7067,0.471,1192,3308,0.36,2135,3759,0.568,0.555,1470,1916,0.767,0.208,884,25.4,2916,78.3,3800,46.3,1836,22.4,588,7.2,402,4.9,1149,14,1547,18.9,11,2021,72,52,20,0.722,1,1,Western Conference Semifinals,0,0,17355,98.5,-0.7,117.6,5.3,108.3,-4,116,107.2,2971,6344,0.468,1205,3098,0.389,1766,3246,0.544,0.563,1235,1546,0.799,0.195,765,24.5,2709,79.3,3474,48.3,1703,23.7,474,6.6,371,5.2,1023,14.2,1335,18.5
Indiana Pacers,2021,2022,18,26,-8,Regression,20,2022,82,25,57,0.305,26,13,Not Qualified,0,0,19880,98,-0.2,112.6,0.6,116.1,4.1,112,114.9,3398,7338,0.463,997,2899,0.344,2401,4439,0.541,0.531,1347,1754,0.768,0.184,925,25.5,2671,76.2,3596,43.9,2081,25.4,582,7.1,457,5.6,1183,14.4,1675,20.4,20,2021,72,34,38,0.472,18,9,Not Qualified,0,0,17455,101.6,2.4,112.4,0.1,112.4,0.1,115,115.3,3115,6567,0.474,889,2445,0.364,2226,4122,0.54,0.542,1183,1493,0.792,0.18,648,20.2,2424,74.9,3072,42.7,1973,27.4,611,8.5,460,6.4,975,13.5,1453,20.2
Brooklyn Nets,2021,2022,4,14,-10,Regression,25,2022,82,44,38,0.537,14,7,Eastern Conference First Round,0,0,19755,99,0.8,113.6,1.6,112.8,0.8,113,112.1,3442,7251,0.475,940,2602,0.361,2502,4649,0.538,0.54,1434,1781,0.805,0.198,844,23.9,2796,75.1,3640,44.4,2071,25.3,582,7.1,448,5.5,1153,14.1,1670,20.4,25,2021,72,48,24,0.667,4,2,Eastern Conference Semifinals,0,0,17405,99.5,0.3,118.3,6,113.8,1.5,119,114.1,3106,6289,0.494,1020,2600,0.392,2086,3689,0.565,0.575,1305,1623,0.804,0.208,640,21.4,2559,77.3,3199,44.4,1929,26.8,484,6.7,379,5.3,975,13.5,1371,19
Los Angeles Clippers,2021,2022,6,18,-12,Regression,3,2022,82,42,40,0.512,18,8,Not Qualified,0,0,19780,98,-0.2,110.1,-1.9,110.1,-1.9,108,108.4,3285,7170,0.458,1047,2802,0.374,2238,4368,0.512,0.531,1273,1606,0.793,0.178,747,20.6,2860,74.4,3607,44,1969,24,608,7.4,406,5,1126,13.7,1528,18.6,3,2021,72,47,25,0.653,6,4,Western Conference Finals,0,0,17280,96.9,-2.3,117.6,5.3,111.2,-1.1,114,107.8,3009,6242,0.482,1027,2498,0.411,1982,3744,0.529,0.564,1164,1387,0.839,0.186,678,22.7,2501,79.1,3179,44.2,1756,24.4,509,7.1,295,4.1,950,13.2,1383,19.2
Los Angeles Lakers,2021,2022,10,23,-13,Regression,7,2022,82,33,49,0.402,23,11,Not Qualified,0,0,19980,100.1,1.9,110.3,-1.7,113.3,1.3,112,115.1,3415,7279,0.469,982,2826,0.347,2433,4453,0.546,0.537,1380,1884,0.732,0.19,782,21.1,2826,75.8,3608,44,1968,24,626,7.6,425,5.2,1191,14.5,1654,20.2,7,2021,72,42,30,0.583,10,7,Western Conference First Round,0,0,17455,98.7,-0.5,109.9,-2.4,107.1,-5.2,110,106.8,2925,6197,0.472,796,2248,0.354,2129,3949,0.539,0.536,1241,1679,0.739,0.2,695,22.5,2490,79.7,3185,44.2,1775,24.7,562,7.8,386,5.4,1095,15.2,1377,19.1
Portland Trail Blazers,2021,2022,9,25,-16,Regression,14,2022,82,27,55,0.329,25,13,Not Qualified,0,0,19730,98.3,0.1,107.8,-4.2,116.9,4.9,106,115.1,3161,7144,0.442,1043,3017,0.346,2118,4127,0.513,0.515,1346,1771,0.76,0.188,854,22.9,2661,76.9,3515,42.9,1880,22.9,657,8,366,4.5,1187,14.5,1728,21.1,14,2021,72,42,30,0.583,9,6,Western Conference First Round,0,0,17305,98.4,-0.8,117.8,5.5,116,3.7,116,114.3,2973,6558,0.453,1132,2939,0.385,1841,3619,0.509,0.54,1282,1558,0.823,0.195,766,23,2441,77.5,3207,44.5,1531,21.3,496,6.9,363,5,799,11.1,1362,18.9
Sacramento Kings,2022,2023,24,7,17,High Progress,8,2023,82,48,34,0.585,7,3,Western Conference First Round,0,0,19830,100.3,1.2,119.4,4.6,116.8,2,121,118.1,3573,7232,0.494,1128,3060,0.369,2445,4172,0.586,0.572,1624,2055,0.79,0.225,782,22.7,2699,77.2,3481,42.5,2237,27.3,574,7,275,3.4,1106,13.5,1616,19.7,8,2022,82,30,52,0.366,24,12,Not Qualified,0,0,19805,99.8,1.6,109.9,-2.1,115.3,3.3,110,115.8,3321,7223,0.46,937,2722,0.344,2384,4501,0.53,0.525,1466,1908,0.768,0.203,784,21.3,2737,76,3521,42.9,1943,23.7,588,7.2,369,4.5,1156,14.1,1552,18.9
New York Knicks,2022,2023,19,8,11,High Progress,16,2023,82,47,35,0.573,8,5,Eastern Conference Semifinals,0,0,19955,97.1,-2,117.8,3,114.8,0,116,113.1,3444,7328,0.47,1037,2930,0.354,2407,4398,0.547,0.541,1589,2087,0.761,0.217,1031,28.3,2790,77.1,3821,46.6,1880,22.9,527,6.4,340,4.1,1065,13,1666,20.3,16,2022,82,37,45,0.451,19,11,Not Qualified,0,0,19780,95.9,-2.3,110.4,-1.6,110.5,-1.5,107,106.6,3088,7069,0.437,1082,3029,0.357,2006,4040,0.497,0.513,1473,1980,0.744,0.208,941,25.1,2841,78.8,3782,46.1,1793,21.9,570,7,399,4.9,1087,13.3,1672,20.4
Cleveland Cavaliers,2022,2023,15,5,10,High Progress,18,2023,82,51,31,0.622,5,4,Eastern Conference First Round,0,0,19880,95.7,-3.4,116.1,1.3,110.6,-4.2,112,106.9,3408,6984,0.488,950,2589,0.367,2458,4395,0.559,0.556,1439,1844,0.78,0.206,795,23.6,2574,76.3,3369,41.1,2045,24.9,586,7.1,384,4.7,1094,13.3,1560,19,18,2022,82,44,38,0.537,15,8,Not Qualified,0,0,19730,96.1,-2.1,111.9,-0.1,109.7,-2.3,108,105.7,3255,6940,0.469,953,2686,0.355,2302,4254,0.541,0.538,1376,1810,0.76,0.198,837,24,2786,76.5,3623,44.2,2064,25.2,580,7.1,343,4.2,1181,14.4,1433,17.5
Los Angeles Lakers,2022,2023,23,14,9,High Progress,7,2023,82,43,39,0.524,14,7,Western Conference Finals,0,0,19880,101.3,2.2,114.5,-0.3,113.9,-0.9,117,116.6,3516,7298,0.482,885,2558,0.346,2631,4740,0.555,0.542,1691,2182,0.775,0.232,818,22.8,2930,76.3,3748,45.7,2072,25.3,526,6.4,378,4.6,1154,14.1,1466,17.9,7,2022,82,33,49,0.402,23,11,Not Qualified,0,0,19980,100.1,1.9,110.3,-1.7,113.3,1.3,112,115.1,3415,7279,0.469,982,2826,0.347,2433,4453,0.546,0.537,1380,1884,0.732,0.19,782,21.1,2826,75.8,3608,44,1968,24,626,7.6,425,5.2,1191,14.5,1654,20.2
Denver Nuggets,2022,2023,11,4,7,High Progress,1,2023,82,53,29,0.646,4,1,Finals,1,1,19755,98.1,-1,117.6,2.8,114.2,-0.6,116,112.5,3574,7088,0.504,969,2559,0.379,2605,4529,0.575,0.573,1378,1834,0.751,0.194,828,24.8,2699,76.4,3527,43,2368,28.9,618,7.5,368,4.5,1192,14.5,1525,18.6,1,2022,82,48,34,0.585,11,6,Western Conference First Round,0,0,19805,97.8,-0.4,114.5,2.5,112.1,0.1,113,110.4,3416,7079,0.483,1039,2944,0.353,2377,4135,0.575,0.556,1372,1725,0.795,0.194,752,21.9,2865,78.3,3617,44.1,2279,27.8,592,7.2,305,3.7,1189,14.5,1639,20
Oklahoma City Thunder,2022,2023,27,20,7,High Progress,0,2023,82,40,42,0.488,20,10,Not Qualified,0,0,19855,101.1,2,115.2,0.4,114.2,-0.6,118,116.4,3533,7590,0.465,995,2797,0.356,2538,4793,0.53,0.531,1572,1944,0.809,0.207,934,24.7,2645,72.9,3579,43.6,2002,24.4,676,8.2,341,4.2,1069,13,1722,21,0,2022,82,24,58,0.293,27,14,Not Qualified,0,0,19805,98.6,0.4,104.6,-7.4,112.8,0.8,104,111.8,3141,7310,0.43,991,3066,0.323,2150,4244,0.507,0.497,1233,1632,0.756,0.169,854,21.8,2887,76.1,3741,45.6,1822,22.2,622,7.6,380,4.6,1145,14,1497,18.3
Milwaukee Bucks,2022,2023,7,1,6,High Progress,17,2023,82,58,24,0.707,1,1,Eastern Conference First Round,0,0,19830,100.5,1.4,115.4,0.6,111.9,-2.9,117,113.3,3504,7411,0.473,1217,3306,0.368,2287,4105,0.557,0.555,1364,1837,0.743,0.184,914,25,3074,77.8,3988,48.6,2115,25.8,521,6.4,403,4.9,1199,14.6,1481,18.1,17,2022,82,51,31,0.622,7,3,Eastern Conference Semifinals,0,0,19755,99.9,1.7,115.1,3.1,111.8,-0.2,116,112.1,3429,7331,0.468,1153,3151,0.366,2276,4180,0.544,0.546,1459,1881,0.776,0.199,840,23,2990,78.6,3830,46.7,1960,23.9,623,7.6,326,4,1100,13.4,1494,18.2
Los Angeles Clippers,2022,2023,18,12,6,High Progress,3,2023,82,44,38,0.537,12,5,Western Conference First Round,0,0,19830,98,-1.1,115,0.2,114.5,-0.3,114,113.1,3370,7059,0.477,1041,2735,0.381,2329,4324,0.539,0.551,1533,1962,0.781,0.217,803,22.9,2742,76.6,3545,43.2,1959,23.9,580,7.1,364,4.4,1167,14.2,1598,19.5,3,2022,82,42,40,0.512,18,8,Not Qualified,0,0,19780,98,-0.2,110.1,-1.9,110.1,-1.9,108,108.4,3285,7170,0.458,1047,2802,0.374,2238,4368,0.512,0.531,1273,1606,0.793,0.178,747,20.6,2860,74.4,3607,44,1969,24,608,7.4,406,5,1126,13.7,1528,18.6
Philadelphia 76ers,2022,2023,8,3,5,High Progress,21,2023,82,54,28,0.659,3,3,Eastern Conference Semifinals,0,0,19880,96.9,-2.2,117.7,2.9,113.3,-1.5,115,110.9,3347,6870,0.487,1035,2675,0.387,2312,4195,0.551,0.563,1719,2058,0.835,0.25,715,21.6,2641,77.2,3356,40.9,2063,25.2,635,7.7,389,4.7,1121,13.7,1675,20.4,21,2022,82,51,31,0.622,8,4,Eastern Conference Semifinals,0,0,19805,96.2,-2,113.5,1.5,110.8,-1.2,110,107.3,3230,6932,0.466,950,2608,0.364,2280,4324,0.527,0.534,1605,1955,0.821,0.232,700,20.1,2770,76.8,3470,42.3,1945,23.7,633,7.7,435,5.3,1027,12.5,1590,19.4
Brooklyn Nets,2022,2023,14,9,5,High Progress,25,2023,82,45,37,0.549,9,6,Eastern Conference First Round,0,0,19730,98.3,-0.8,115,0.2,114.1,-0.7,113,112.5,3399,6978,0.487,1048,2771,0.378,2351,4207,0.559,0.562,1449,1811,0.8,0.208,674,19.6,2648,73.7,3322,40.5,2093,25.5,585,7.1,506,6.2,1127,13.7,1730,21.1,25,2022,82,44,38,0.537,14,7,Eastern Conference First Round,0,0,19755,99,0.8,113.6,1.6,112.8,0.8,113,112.1,3442,7251,0.475,940,2602,0.361,2502,4649,0.538,0.54,1434,1781,0.805,0.198,844,23.9,2796,75.1,3640,44.4,2071,25.3,582,7.1,448,5.5,1153,14.1,1670,20.4
Orlando Magic,2022,2023,29,25,4,High Progress,19,2023,82,34,48,0.415,25,13,Not Qualified,0,0,19780,99.3,0.2,111.6,-3.2,114.2,-0.6,111,114,3323,7074,0.47,883,2551,0.346,2440,4523,0.539,0.532,1607,2050,0.784,0.227,833,23.8,2713,77.7,3546,43.2,1906,23.2,603,7.4,382,4.7,1236,15.1,1652,20.1,19,2022,82,22,60,0.268,29,15,Not Qualified,0,0,19780,99.2,1,104.5,-7.5,112.5,0.5,104,112.2,3139,7240,0.434,999,3022,0.331,2140,4218,0.507,0.503,1270,1614,0.787,0.175,746,19.8,2885,77.2,3631,44.3,1947,23.7,555,6.8,367,4.5,1188,14.5,1612,19.7
New Orleans Pelicans,2022,2023,20,16,4,High Progress,6,2023,82,42,40,0.512,16,9,Not Qualified,0,0,19855,99.1,0,114.4,-0.4,112.5,-2.3,114,112.5,3447,7180,0.48,899,2468,0.364,2548,4712,0.541,0.543,1585,2000,0.793,0.221,866,24.7,2717,77.4,3583,43.7,2122,25.9,681,8.3,337,4.1,1196,14.6,1678,20.5,6,2022,82,36,46,0.439,20,9,Western Conference First Round,0,0,19755,97.2,-1,112,0,113,1,109,110.3,3294,7212,0.457,873,2629,0.332,2421,4583,0.528,0.517,1501,1903,0.789,0.208,981,26.9,2726,78.2,3707,45.2,2047,25,680,8.3,328,4,1153,14.1,1612,19.7
Boston Celtics,2022,2023,6,2,4,High Progress,15,2023,82,57,25,0.695,2,2,Eastern Conference Finals,0,0,19980,98.5,-0.6,118,3.2,111.5,-3.3,118,111.4,3460,7278,0.475,1315,3492,0.377,2145,3786,0.567,0.566,1436,1769,0.812,0.197,796,22.1,2921,78.5,3717,45.3,2186,26.7,521,6.4,430,5.2,1095,13.4,1542,18.8,15,2022,82,51,31,0.622,6,2,Finals,1,0,19905,96.6,-1.6,114.4,2.4,106.9,-5.1,112,104.5,3341,7167,0.466,1085,3044,0.356,2256,4123,0.547,0.542,1397,1713,0.816,0.195,863,24,2915,77.3,3778,46.1,2036,24.8,591,7.2,478,5.8,1118,13.6,1521,18.5
Indiana Pacers,2022,2023,26,23,3,No Change,20,2023,82,35,47,0.427,23,11,Not Qualified,0,0,19755,101.1,2,114.6,-0.2,117.7,2.9,116,119.5,3444,7345,0.469,1112,3030,0.367,2332,4315,0.54,0.545,1535,1944,0.79,0.209,832,23.4,2575,72.2,3407,41.5,2213,27,631,7.7,478,5.8,1225,14.9,1741,21.2,20,2022,82,25,57,0.305,26,13,Not Qualified,0,0,19880,98,-0.2,112.6,0.6,116.1,4.1,112,114.9,3398,7338,0.463,997,2899,0.344,2401,4439,0.541,0.531,1347,1754,0.768,0.184,925,25.5,2671,76.2,3596,43.9,2081,25.4,582,7.1,457,5.6,1183,14.4,1675,20.4
Houston Rockets,2022,2023,30,28,2,No Change,10,2023,82,22,60,0.268,28,14,Not Qualified,0,0,19755,99,-0.1,111.4,-3.4,119.3,4.5,111,118.6,3329,7287,0.457,856,2619,0.327,2473,4668,0.53,0.516,1567,2078,0.754,0.215,1100,30.2,2695,75.8,3795,46.3,1835,22.4,600,7.3,374,4.6,1332,16.2,1679,20.5,10,2022,82,20,62,0.244,30,15,Not Qualified,0,0,19755,100.9,2.7,108.4,-3.6,116.7,4.7,110,118.2,3229,7083,0.456,1105,3170,0.349,2124,3913,0.543,0.534,1434,2010,0.713,0.202,786,21.7,2660,74.4,3446,42,1932,23.6,600,7.3,382,4.7,1351,16.5,1692,20.6
