Season,Position,Player Name,rank_position,Score,Team Name,player_id,team_id,season,position,experience,games,games_started,minutes,fg,fga,fg_percent,three_p,three_pa,three_percent,two_p,two_pa,two_percent,efg,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,z_pts,z_ast,z_trb,z_stl,z_blk,z_efg,z_per,z_tov,raw_score
2020,C,Dwight Howard,25,60.72,Los Angeles Lakers,2183,7,2020,C,18,69,2,18.90,2.90,4.00,0.729,0.00,0.10,0.600,2.90,3.90,0.732,0.735,1.60,3.10,0.514,2.50,4.90,7.30,0.70,0.40,1.10,1.20,3.20,7.50,18.70,-0.0552354963,-0.4941543556,0.6438230709,-0.2933182152,0.52908791,1.66573360586,0.4426982239,0.2738066368,0.5955932989
2020,C,Jaren Jackson Jr.,26,60.4,Memphis Grizzlies,2284,12,2020,C,8,57,57,28.50,6.20,13.20,0.469,2.50,6.50,0.394,3.60,6.80,0.540,0.565,2.40,3.30,0.747,1.00,3.60,4.60,1.40,0.70,1.60,1.70,4.10,17.40,16.30,1.827792788,0.2009984758,-0.2246433017,0.5463331641,1.385771702,0.01472409132,0.0061122043,1.0146254593,0.57874903147
2020,C,Brook Lopez,27,60.32,Milwaukee Bucks,2899,17,2020,C,18,68,67,26.70,4.30,9.90,0.435,1.50,4.80,0.314,2.80,5.10,0.549,0.511,1.90,2.20,0.836,0.90,3.70,4.60,1.50,0.70,2.40,1.00,2.40,12.00,15.00,0.8006864511,0.3003060232,-0.2246433017,0.5463331641,2.7564657692,-0.50971422506,-0.2303718897,-0.0225208922,0.57470440253
2020,C,Tristan Thompson,28,59.8,Cleveland Cavaliers,4773,18,2020,C,13,57,51,30.20,5.10,9.90,0.512,0.20,0.40,0.391,4.90,9.50,0.518,0.520,1.70,2.80,0.615,4.00,6.20,10.10,2.10,0.60,0.90,1.80,2.20,12.00,16.80,0.8006864511,0.8961513072,1.5444548648,0.266449371,0.1864143931,-0.42230783899,0.097067625,1.1627892238,0.54698342009
2020,C,Serge Ibaka,29,59.75,Toronto Raptors,2242,26,2020,C,14,55,27,27.00,6.20,12.20,0.512,1.30,3.30,0.385,5.00,8.90,0.559,0.564,1.60,2.30,0.718,2.10,6.10,8.20,1.40,0.50,0.80,2.00,2.80,15.40,17.30,1.4473830336,0.2009984758,0.9333118618,-0.0134344221,0.0150776347,0.00501227065,0.1880230458,1.4591167528,0.54481343681
2020,C,Nerlens Noel,30,59.62,Oklahoma City Thunder,3532,0,2020,C,9,61,7,18.50,3.00,4.40,0.684,0.00,0.00,0.333,3.00,4.40,0.688,0.686,1.30,1.70,0.755,1.50,3.40,4.90,0.90,1.00,1.50,1.10,2.70,7.40,20.40,-0.0742559841,-0.2955392609,-0.1281470381,1.3859845434,1.2144349436,1.18985439285,0.7519466545,0.1256428723,0.53746032645
2020,C,Ivica Zubac,31,59.05,Los Angeles Clippers,5414,3,2020,C,10,72,70,18.40,3.30,5.30,0.613,0.00,0.00,0.000,3.30,5.30,0.616,0.613,1.70,2.30,0.747,2.70,4.80,7.50,1.10,0.20,0.90,0.80,2.30,8.30,21.70,0.0969284054,-0.0969241662,0.7081539134,-0.8530858013,0.1864143931,0.48089148366,0.9884307484,-0.3188484212,0.50758925434
2020,C,Daniel Theis,32,58.19,Boston Celtics,4718,15,2020,C,8,65,64,24.10,3.70,6.60,0.566,0.50,1.50,0.333,3.20,5.10,0.633,0.603,1.30,1.80,0.763,2.20,4.40,6.60,1.70,0.60,1.30,0.80,3.40,9.20,17.90,0.2681127949,0.4989211179,0.4186651225,0.266449371,0.8717614268,0.38377327693,0.2971695507,-0.3188484212,0.46206291772
2020,C,Robert Williams,33,58.17,Boston Celtics,5252,15,2020,C,8,29,1,13.40,2.20,3.00,0.727,0.00,0.00,,2.20,3.00,0.727,0.727,0.80,1.20,0.647,1.40,3.00,4.40,0.90,0.80,1.20,0.70,1.80,5.20,23.10,-0.4927067139,-0.2955392609,-0.2889741441,0.8262169572,0.7004246684,1.58803904047,1.2431059266,-0.4670121857,0.46121959204
2020,C,JaVale McGee,34,57.83,Los Angeles Lakers,3150,7,2020,C,16,68,68,16.60,2.90,4.50,0.637,0.00,0.10,0.500,2.80,4.40,0.640,0.642,0.80,1.20,0.646,1.80,3.90,5.70,0.50,0.50,1.40,0.80,2.30,6.60,19.40,-0.2264198858,-0.6927694503,0.1291763316,-0.0134344221,1.0430981852,0.7625342832,0.570035813,-0.3188484212,0.44307382974
2020,C,Wendell Carter Jr.,35,57.19,Chicago Bulls,769,23,2020,C,8,43,43,29.20,4.30,8.00,0.534,0.10,0.70,0.207,4.10,7.30,0.564,0.542,2.60,3.50,0.737,3.20,6.20,9.40,1.20,0.80,0.80,1.70,3.80,11.30,15.50,0.667543037,0.0023833811,1.3192969163,0.8262169572,0.0150776347,-0.20864778417,-0.1394164689,1.0146254593,0.40939804099
2020,C,Enes Freedom,36,56.78,Boston Celtics,1561,15,2020,C,11,58,7,16.90,3.40,6.00,0.572,0.00,0.10,0.143,3.40,5.90,0.581,0.573,1.20,1.70,0.707,2.80,4.60,7.40,1.00,0.40,0.70,1.00,1.70,8.10,22.40,0.05888743,-0.1962317136,0.6759884921,-0.2933182152,-0.1562591237,0.09241865671,1.1157683375,-0.0225208922,0.38807201759
2020,C,James Johnson,37,56.75,Minnesota Timberwolves,2410,2,2020,C,16,14,1,24.10,4.60,9.10,0.500,1.20,3.30,0.370,3.40,5.90,0.573,0.566,1.60,2.40,0.676,1.20,3.50,4.70,3.80,1.40,1.40,2.40,3.30,12.00,17.90,0.8006864511,2.5843796121,-0.1924778805,2.5055197157,1.0430981852,0.024435912,0.2971695507,2.0517718108,0.38641585082
2020,C,Jakob Poeltl,38,56.51,San Antonio Spurs,3828,13,2020,C,10,66,18,17.70,2.50,4.00,0.624,0.00,0.00,,2.50,4.00,0.624,0.624,0.60,1.30,0.465,2.00,3.70,5.70,1.80,0.60,1.40,0.80,1.90,5.60,19.10,-0.416624763,0.5982286652,0.1291763316,0.266449371,1.0430981852,0.58772151107,0.5154625605,-0.3188484212,0.37344851326
2020,C,Marvin Bagley III,39,55.22,Sacramento Kings,190,8,2020,C,8,13,6,25.70,6.00,12.80,0.467,0.30,1.70,0.182,5.70,11.20,0.510,0.479,1.90,2.40,0.806,2.20,5.20,7.50,0.80,0.50,0.90,1.40,3.30,14.20,15.60,1.2191371809,-0.3948468082,0.7081539134,-0.0134344221,0.1864143931,-0.82049248662,-0.1212253848,0.5701341658,0.30546185145
